1945 2 1.07
1945 3 0.75
1945 4 -0.23
1945 5 -0.07
1945 6 -0.3
1945 7 -0.22
1945 8 0.25
1945 9 0.1
1945 10 -0.19
1945 11 -1.27
1945 12 -1.65
1946 1 0.94
1946 2 -0.36
1946 3 -0.02
1946 4 1.09
1946 5 -0.7
1946 6 0.81
1946 7 0.83
1946 8 0.08
1946 9 0.37
1946 10 -0.63
1946 11 -0.45
1946 12 0.3
1947 1 0.07
1947 2 -5.07
1947 3 -1.89
1947 4 2.4
1947 5 0.05
1947 6 -0.13
1947 7 0.64
1947 8 0.14
1947 9 1.1
1947 10 0.25
1947 11 -1.99
1947 12 -1.63
1948 1 -0.18
1948 2 0.6
1948 3 2.25
1948 4 0.63
1948 5 -0.21
1948 6 -0.42
1948 7 -0.34
1948 8 0
1948 9 0.15
1948 10 1.02
1948 11 0.16
1948 12 -0.16
1949 1 1.23
1949 2 2.49
1949 3 0.02
1949 4 1.27
1949 5 -0.3
1949 6 -0.41
1949 7 -0.2
1949 8 0.11
1949 9 -0.4
1949 10 0.63
1949 11 -0.24
1949 12 0.55
1950 1 -0.05
1950 2 0.86
1950 3 0.61
1950 4 0.51
1950 5 -0.37
1950 6 0.55
1950 7 -0.63
1950 8 -0.09
1950 9 0.84
1950 10 0.41
1950 11 -0.66
1950 12 -1.44
1951 1 0.25
1951 2 0.17
1951 3 -2.28
1951 4 -0.57
1951 5 -0.69
1951 6 -0.89
1951 7 0.45
1951 8 0.09
1951 9 -0.38
1951 10 0.27
1951 11 -0.18
1951 12 1.94
1952 1 0.84
1952 2 -1.32
1952 3 -2.42
1952 4 0.71
1952 5 -1.22
1952 6 0.15
1952 7 0.48
1952 8 0.01
1952 9 -0.36
1952 10 -0.31
1952 11 -1.18
1952 12 -1.33
1953 1 -0.01
1953 2 0.2
1953 3 0.64
1953 4 -1.26
1953 5 -0.4
1953 6 0.11
1953 7 0.5
1953 8 0.33
1953 9 0.26
1953 10 0.85
1953 11 1.71
1953 12 1.13
1954 1 -0.14
1954 2 0.48
1954 3 -0.17
1954 4 0.52
1954 5 -1.27
1954 6 0.28
1954 7 0.26
1954 8 -0.31
1954 9 0.38
1954 10 1.06
1954 11 0.98
1954 12 1.08
1955 1 -2.65
1955 2 -1.99
1955 3 -1.52
1955 4 -0.2
1955 5 0.07
1955 6 -0.39
1955 7 0.71
1955 8 0.58
1955 9 0.8
1955 10 -0.58
1955 11 -1.97
1955 12 -0.81
1956 1 -1.52
1956 2 -1.86
1956 3 0.4
1956 4 -1.01
1956 5 2.16
1956 6 0.34
1956 7 -0.57
1956 8 -0.42
1956 9 -0.34
1956 10 0.99
1956 11 0.68
1956 12 1.19
1957 1 2.03
1957 2 -1.14
1957 3 -1.84
1957 4 0.34
1957 5 -0.51
1957 6 -0.63
1957 7 -0.67
1957 8 0.41
1957 9 -0.68
1957 10 1.86
1957 11 -0.78
1957 12 0.62
1958 1 -0.87
1958 2 -1.95
1958 3 -3.12
1958 4 0.21
1958 5 0.03
1958 6 -0.98
1958 7 -0.56
1958 8 -0.98
1958 9 -0.3
1958 10 0.63
1958 11 0.37
1958 12 -1.04
1959 1 -2.24
1959 2 2.51
1959 3 1.18
1959 4 0.06
1959 5 -0.2
1959 6 0.19
1959 7 0.46
1959 8 -0.37
1959 9 0.08
1959 10 0.46
1959 11 -0.38
1959 12 0
1960 1 -2.39
1960 2 -2.83
1960 3 -1.56
1960 4 0.14
1960 5 -0.44
1960 6 0.09
1960 7 -0.13
1960 8 -0.85
1960 9 -0.03
1960 10 -1.77
1960 11 -0.3
1960 12 0.71
